	gene_symbol
1289	ASB5
1290	ASB6
1291	ASB7
1292	ASB8
1293	ASB9
1294	ASB9P1
1295	ASCC1
1296	ASCC2
1297	ASCC3
1298	ASCL1
1299	ASCL2
1300	ASCL3
1301	ASCL4
1302	ASCL5
1303	ASD1
1304	ASF1A
1305	ASF1B
1306	ASGR1
1307	ASGR2
1308	ASH1L
1309	ASH2L
1310	ASH2LP1
1311	ASIP
1312	ASL
1313	ASLP1
1314	ASMD
1315	ASMT
1316	ASMTL
1317	ASMTL-AS1
1318	ASNA1
1319	ASNS
1320	ASNSD1
1321	ASNSP1
1322	ASPA
1323	ASPDH
1324	ASPG
1325	ASPG1
1326	ASPG2
1327	ASPG3
1328	ASPH
1329	ASPHD1
1330	ASPHD2
1331	ASPM
1332	ASPN
1333	ASPRV1
1334	ASPSCR1
1335	ASRGL1
1336	ASS1
1337	ASS1P1
1338	ASS1P10
1339	ASS1P11
1340	ASS1P12
1341	ASS1P13
1342	ASS1P14
1343	ASS1P2
1344	ASS1P3
1345	ASS1P4
1346	ASS1P5
1347	ASS1P6
1348	ASS1P7
1349	ASS1P8
1350	ASS1P9
1351	ASTE1
1352	ASTL
1353	ASTN1
1354	ASTN2
1355	ASXL1
1356	ASXL2
1357	ASXL3
1358	ASZ1
1359	ATAD1
1360	ATAD2
1361	ATAD2B
1362	ATAD3A
1363	ATAD3B
1364	ATAD3C
1365	ATAD5
1366	ATAT1
1367	ATCAY
1368	ATD
1369	ATE1
1370	ATF1
1371	ATF2
1372	ATF3
1373	ATF4
1374	ATF4P1
1375	ATF4P2
1376	ATF4P3
1377	ATF4P4
1378	ATF5
1379	ATF6
1380	ATF6B
1381	ATF7
1382	ATF7IP
1383	ATF7IP2
1384	ATFB3
1385	ATG10
1386	ATG12
1387	ATG13
1388	ATG14
1389	ATG16L1
1390	ATG16L2
1391	ATG2A
1392	ATG2B
1393	ATG3
1394	ATG4A
1395	ATG4B
1396	ATG4C
1397	ATG4D
1398	ATG5
1399	ATG7
1400	ATG9A
1401	ATG9B
1402	ATHL1
1403	ATHS
1404	ATIC
1405	ATL1
1406	ATL2
1407	ATL3
1408	ATM
1409	ATMIN
1410	ATN1
1411	ATOD
1412	ATOD5
1413	ATOD6
1414	ATOH1
1415	ATOH7
1416	ATOH8
1417	ATOX1
1418	ATP10A
1419	ATP10B
1420	ATP10D
1421	ATP11A
1422	ATP11B
1423	ATP11C
1424	ATP12A
1425	ATP13A1
1426	ATP13A2
1427	ATP13A3
1428	ATP13A4
1429	ATP13A5
1430	ATP1A1
1431	ATP1A1OS
1432	ATP1A2
1433	ATP1A3
1434	ATP1A4
1435	ATP1B1
1436	ATP1B1P1
1437	ATP1B2
1438	ATP1B3
1439	ATP1B3P1
1440	ATP1B4
1441	ATP2A1
1442	ATP2A2
1443	ATP2A3
1444	ATP2B1
1445	ATP2B2
1446	ATP2B3
1447	ATP2B4
1448	ATP2C1
1449	ATP2C2
1450	ATP4A
1451	ATP4B
1452	ATP5A1
1453	ATP5A1P1
1454	ATP5A1P3
1455	ATP5A1P5
1456	ATP5A1P6
1457	ATP5A1P7
1458	ATP5A1P8
1459	ATP5B
1460	ATP5C1
1461	ATP5C1P1
1462	ATP5D
1463	ATP5E
1464	ATP5EP1
1465	ATP5EP2
1466	ATP5F1
1467	ATP5F1P2
1468	ATP5F1P3
1469	ATP5F1P6
1470	ATP5F1P7
1471	ATP5G1
1472	ATP5G1P1
1473	ATP5G1P2
1474	ATP5G1P3
1475	ATP5G1P5
1476	ATP5G2
1477	ATP5G2P1
1478	ATP5G2P2
1479	ATP5G2P4
1480	ATP5G3
1481	ATP5H
1482	ATP5HP1
1483	ATP5I
1484	ATP5J
1485	ATP5J2
1486	ATP5J2LP
1487	ATP5J2P2
1488	ATP5J2P4
1489	ATP5J2P5
1490	ATP5J2P6
1491	ATP5JP1
1492	ATP5L
1493	ATP5L2
1494	ATP5LP1
1495	ATP5LP2
1496	ATP5LP3
1497	ATP5O
1498	ATP5S
1499	ATP5SL
1500	ATP6
1501	ATP6AP1
1502	ATP6AP1L
1503	ATP6AP2
1504	ATP6V0A1
1505	ATP6V0A2
1506	ATP6V0A4
1507	ATP6V0B
1508	ATP6V0C
1509	ATP6V0CP1
1510	ATP6V0CP3
1511	ATP6V0D1
1512	ATP6V0D2
1513	ATP6V0E1
1514	ATP6V0E2
1515	ATP6V1A
1516	ATP6V1B1
1517	ATP6V1B2
1518	ATP6V1C1
1519	ATP6V1C2
1520	ATP6V1D
1521	ATP6V1E1
1522	ATP6V1E1P1
1523	ATP6V1E1P3
1524	ATP6V1E2
1525	ATP6V1F
1526	ATP6V1G1
1527	ATP6V1G1P2
1528	ATP6V1G2
1529	ATP6V1G3
1530	ATP6V1H
1531	ATP7A
1532	ATP7B
1533	ATP8
1534	ATP8A1
1535	ATP8A2
1536	ATP8B1
1537	ATP8B2
1538	ATP8B3
1539	ATP8B4
1540	ATP8B5P
1541	ATP9A
1542	ATP9B
1543	ATPAF1
1544	ATPAF1-AS1
1545	ATPAF2
1546	ATPBD4
1547	ATPIF1
1548	ATR
1549	ATRIP
1550	ATRN
1551	ATRNL1
1552	ATRX
1553	ATXN1
1554	ATXN10
1555	ATXN1L
1556	ATXN2
1557	ATXN2L
1558	ATXN3
1559	ATXN3L
1560	ATXN7
1561	ATXN7L1
1562	ATXN7L2
1563	ATXN7L3
1564	ATXN7L3B
1565	ATXN8
1566	ATXN8OS
1567	AUH
1568	AUP1
1569	AURKA
1570	AURKAIP1
